sex,age_group,edattain,classwk,marst,geo2_th2000
202,21,502,401,301,10035
201,4,501,400,301,10035
201,15,504,401,301,10035
201,22,502,401,302,10035
202,19,501,403,302,10035
202,15,503,403,301,10035
201,15,503,400,301,10035
202,14,503,403,301,10035
201,4,502,400,301,10035
201,16,502,400,302,10035
202,17,502,403,302,10035
201,12,503,400,301,10035
202,4,503,400,301,10035
202,4,502,400,301,10035
202,4,502,400,301,10035
201,16,503,400,302,10035
202,14,502,403,302,10035
201,4,502,400,301,10035
202,4,502,400,301,10035
202,2,501,400,301,10035
201,2,501,400,301,10035
202,14,502,401,302,10035
201,3,501,400,301,10035
201,3,501,400,301,10035
202,14,502,402,301,10035
201,15,509,401,301,10035
201,3,501,400,301,10035
202,15,501,402,302,10035
201,14,502,402,302,10035
201,16,503,401,302,10035
202,16,502,400,302,10035
202,3,501,400,301,10035
201,17,503,402,302,10035
201,21,502,400,302,10035
202,19,501,401,302,10035
201,1,500,400,301,10035
201,15,501,401,302,10035
202,13,502,403,302,10035
201,23,501,401,302,10035
202,23,501,400,302,10035
202,19,501,403,301,10035
202,16,504,402,301,10035
202,16,503,403,301,10035
201,16,504,403,301,10035
201,21,502,400,302,10035
202,19,501,401,302,10035
201,1,500,400,301,10035
201,15,501,401,302,10035
202,13,502,403,302,10035
201,23,501,401,302,10035
202,23,501,400,302,10035
202,19,501,403,301,10035
202,16,504,402,301,10035
202,16,503,403,301,10035
201,16,504,403,301,10035
201,18,501,401,302,10035
202,17,501,400,302,10035
201,4,502,400,301,10035
201,16,504,402,302,10035
202,16,503,401,302,10035
202,12,503,400,301,10035
201,20,501,401,302,10035
201,13,502,401,301,10035
202,18,501,400,302,10035
201,3,501,400,301,10035
202,4,502,400,301,10035
202,17,504,400,301,10035
201,16,509,401,301,10035
202,15,504,402,302,10035
201,21,501,400,302,10035
202,19,501,400,302,10035
202,14,503,401,301,10035
201,13,503,402,301,10035
202,23,501,400,304,10035
201,18,502,401,302,10035
202,17,501,400,302,10035
202,12,501,402,301,10035
201,12,504,400,301,10035
202,25,501,400,304,10035
201,21,501,401,303,10035
201,13,501,400,301,10035
201,23,501,400,304,10035
202,21,501,400,302,10035
201,14,504,402,301,10035
201,13,504,402,301,10035
201,13,504,400,301,10035
201,2,501,400,301,10035
202,17,501,401,302,10035
201,14,501,403,302,10035
202,16,503,401,303,10035
202,3,502,400,301,10035
202,3,502,400,301,10035
202,3,501,400,301,10035
201,15,503,403,301,10035
202,23,501,400,304,10035
201,22,503,401,302,10035
202,18,504,402,302,10035
202,18,502,402,302,10035
201,2,501,400,301,10035
202,1,500,400,301,10035
202,16,501,401,301,10035
202,15,501,403,302,10035
201,16,501,403,301,10035
201,18,502,402,302,10035
202,17,502,400,302,10035
202,13,504,402,301,10035
201,12,503,400,301,10035
202,12,503,400,301,10035
201,17,503,402,302,10035
202,16,502,400,302,10035
202,12,503,400,301,10035
202,4,502,400,301,10035
202,3,502,400,301,10035
202,12,503,400,301,10035
202,22,501,400,302,10035
201,16,502,401,301,10035
202,20,502,400,302,10035
202,15,504,402,302,10035
201,15,503,402,302,10035
202,14,504,402,302,10035
201,19,502,400,301,10035
202,17,503,400,302,10035
201,16,503,402,301,10035
202,4,502,400,301,10035
202,3,502,400,301,10035
202,15,502,400,303,10035
201,3,501,400,301,10035
201,2,501,400,301,10035
202,20,501,400,302,10035
201,22,501,400,302,10035
202,16,502,401,301,10035
201,15,504,403,302,10035
201,14,504,402,301,10035
202,20,501,401,304,10035
202,15,504,402,301,10035
202,15,503,402,301,10035
201,15,503,402,301,10035
201,3,502,400,301,10035
202,16,502,402,302,10035
201,17,502,402,302,10035
201,2,501,400,301,10035
201,2,501,400,301,10035
202,1,500,400,301,10035
202,17,501,401,302,10035
201,18,502,402,302,10035
202,4,503,402,301,10035
201,12,502,402,302,10035
202,12,509,400,302,10035
202,17,509,401,304,10035
201,18,501,401,302,10035
202,17,501,400,302,10035
201,4,502,400,301,10035
201,16,504,402,302,10035
202,16,503,401,302,10035
202,12,503,400,301,10035
201,20,501,401,302,10035
201,13,502,401,301,10035
202,18,501,400,302,10035
201,3,501,400,301,10035
202,4,502,400,301,10035
202,17,504,400,301,10035
201,16,509,401,301,10035
202,15,504,402,302,10035
201,21,501,400,302,10035
202,19,501,400,302,10035
202,14,503,401,301,10035
201,13,503,402,301,10035
202,23,501,400,304,10035
201,18,502,401,302,10035
202,17,501,400,302,10035
202,12,501,402,301,10035
201,12,504,400,301,10035
202,25,501,400,304,10035
201,21,501,401,303,10035
201,13,501,400,301,10035
201,23,501,400,304,10035
202,21,501,400,302,10035
201,14,504,402,301,10035
201,13,504,402,301,10035
201,13,504,400,301,10035
201,2,501,400,301,10035
202,17,501,401,302,10035
201,14,501,403,302,10035
201,22,502,401,302,10035
202,19,501,403,302,10035
202,15,503,403,301,10035
201,15,503,400,301,10035
202,14,503,403,301,10035
201,4,502,400,301,10035
201,16,502,400,302,10035
202,17,502,403,302,10035
201,12,503,400,301,10035
202,4,503,400,301,10035
202,4,502,400,301,10035
202,4,502,400,301,10035
201,16,503,400,302,10035
202,14,502,403,302,10035
201,4,502,400,301,10035
202,4,502,400,301,10035
202,2,501,400,301,10035
201,2,501,400,301,10035
202,14,502,401,302,10035
201,3,501,400,301,10035
201,3,501,400,301,10035
202,14,502,402,301,10035
201,15,509,401,301,10035
201,3,501,400,301,10035
202,15,501,402,302,10035
201,14,502,402,302,10035
201,16,503,401,302,10035
202,16,502,400,302,10035
202,3,501,400,301,10035
201,17,503,402,302,10035
201,21,502,400,302,10035
202,19,501,401,302,10035
201,1,500,400,301,10035
201,15,501,401,302,10035
202,13,502,403,302,10035
201,23,501,401,302,10035
202,23,501,400,302,10035
202,19,501,403,301,10035
202,16,504,402,301,10035
202,16,503,403,301,10035
201,16,504,403,301,10035
201,18,501,401,302,10035
202,17,501,400,302,10035
201,4,502,400,301,10035
201,16,504,402,302,10035
202,16,503,401,302,10035
202,12,503,400,301,10035
201,20,501,401,302,10035
201,13,502,401,301,10035
202,18,501,400,302,10035
201,3,501,400,301,10035
202,4,502,400,301,10035
202,17,504,400,301,10035
201,16,509,401,301,10035
202,15,504,402,302,10035
201,21,501,400,302,10035
202,19,501,400,302,10035
202,14,503,401,301,10035
201,13,503,402,301,10035
202,23,501,400,304,10035
201,18,502,401,302,10035
202,17,501,400,302,10035
202,12,501,402,301,10035
201,12,504,400,301,10035
202,25,501,400,304,10035
201,21,501,401,303,10035
201,13,501,400,301,10035
201,23,501,400,304,10035
202,21,501,400,302,10035
201,14,504,402,301,10035
201,13,504,402,301,10035
201,13,504,400,301,10035
201,2,501,400,301,10035
202,17,501,401,302,10035
201,14,501,403,302,10035
202,16,503,401,303,10035
202,3,502,400,301,10035
202,3,502,400,301,10035
202,3,501,400,301,10035
201,15,503,403,301,10035
202,23,501,400,304,10035
201,22,503,401,302,10035
202,18,504,402,302,10035
202,18,502,402,302,10035
201,2,501,400,301,10035
202,1,500,400,301,10035
202,16,501,401,301,10035
202,15,501,403,302,10035
201,16,501,403,301,10035
201,18,502,402,302,10035
202,17,502,400,302,10035
202,13,504,402,301,10035
201,12,503,400,301,10035
202,12,503,400,301,10035
201,17,503,402,302,10035
202,16,502,400,302,10035
202,12,503,400,301,10035
202,4,502,400,301,10035
202,3,502,400,301,10035
202,12,503,400,301,10035
202,22,501,400,302,10035
201,16,502,401,301,10035
202,20,502,400,302,10035
202,15,504,402,302,10035
201,15,503,402,302,10035
202,14,504,402,302,10035
201,19,502,400,301,10035
202,17,503,400,302,10035
201,16,503,402,301,10035
202,4,502,400,301,10035
202,3,502,400,301,10035
202,15,502,400,303,10035
201,3,501,400,301,10035
201,2,501,400,301,10035
202,20,501,400,302,10035
201,22,501,400,302,10035
202,16,502,401,301,10035
201,15,504,403,302,10035
201,14,504,402,301,10035
202,20,501,401,304,10035
202,15,504,402,301,10035
202,15,503,402,301,10035
201,15,503,402,301,10035
201,3,502,400,301,10035
202,16,502,402,302,10035
201,17,502,402,302,10035
201,2,501,400,301,10035
201,2,501,400,301,10035
202,1,500,400,301,10035
202,17,501,401,302,10035
201,18,502,402,302,10035
202,4,503,402,301,10035
201,12,502,402,302,10035
202,12,509,400,302,10035
202,17,509,401,304,10035
202,16,503,401,303,10035
202,3,502,400,301,10035
202,3,502,400,301,10035
202,3,501,400,301,10035
201,15,503,403,301,10035
202,23,501,400,304,10035
201,22,503,401,302,10035
202,18,504,402,302,10035
202,18,502,402,302,10035
201,2,501,400,301,10035
202,1,500,400,301,10035
202,16,501,401,301,10035
202,15,501,403,302,10035
201,16,501,403,301,10035
201,18,502,402,302,10035
202,17,502,400,302,10035
202,13,504,402,301,10035
201,12,503,400,301,10035
202,12,503,400,301,10035
201,17,503,402,302,10035
202,16,502,400,302,10035
202,12,503,400,301,10035
202,4,502,400,301,10035
202,3,502,400,301,10035
202,12,503,400,301,10035
202,22,501,400,302,10035
201,16,502,401,301,10035
202,20,502,400,302,10035
202,15,504,402,302,10035
201,15,503,402,302,10035
202,14,504,402,302,10035
201,19,502,400,301,10035
202,17,503,400,302,10035
201,16,503,402,301,10035
202,4,502,400,301,10035
202,3,502,400,301,10035
202,15,502,400,303,10035
201,3,501,400,301,10035
201,2,501,400,301,10035
202,20,501,400,302,10035
201,22,501,400,302,10035
202,16,502,401,301,10035
201,15,504,403,302,10035
201,14,504,402,301,10035
202,20,501,401,304,10035
202,15,504,402,301,10035
202,15,503,402,301,10035
201,15,503,402,301,10035
201,3,502,400,301,10035
202,16,502,402,302,10035
201,17,502,402,302,10035
201,2,501,400,301,10035
201,2,501,400,301,10035
202,1,500,400,301,10035
202,17,501,401,302,10035
201,18,502,402,302,10035
202,4,503,402,301,10035
201,12,502,402,302,10035
202,12,509,400,302,10035
202,17,509,401,304,10035
201,15,501,402,302,10035
202,16,501,401,302,10035
202,4,502,400,301,10035
202,3,501,400,301,10035
201,22,502,401,302,10035
202,19,501,403,302,10035
202,15,503,403,301,10035
201,15,503,400,301,10035
202,14,503,403,301,10035
201,4,502,400,301,10035
201,16,502,400,302,10035
202,17,502,403,302,10035
201,12,503,400,301,10035
202,4,503,400,301,10035
202,4,502,400,301,10035
202,4,502,400,301,10035
201,16,503,400,302,10035
202,14,502,403,302,10035
201,4,502,400,301,10035
202,4,502,400,301,10035
202,2,501,400,301,10035
201,2,501,400,301,10035
202,14,502,401,302,10035
201,3,501,400,301,10035
201,3,501,400,301,10035
202,14,502,402,301,10035
201,15,509,401,301,10035
201,3,501,400,301,10035
202,15,501,402,302,10035
201,14,502,402,302,10035
201,16,503,401,302,10035
202,16,502,400,302,10035
202,3,501,400,301,10035
201,17,503,402,302,10035
201,21,502,400,302,10035
202,19,501,401,302,10035
201,1,500,400,301,10035
201,15,501,401,302,10035
202,13,502,403,302,10035
201,23,501,401,302,10035
202,23,501,400,302,10035
202,19,501,403,301,10035
202,16,504,402,301,10035
202,16,503,403,301,10035
201,16,504,403,301,10035
201,18,501,401,302,10035
202,17,501,400,302,10035
201,4,502,400,301,10035
201,16,504,402,302,10035
202,16,503,401,302,10035
202,12,503,400,301,10035
201,20,501,401,302,10035
201,13,502,401,301,10035
202,18,501,400,302,10035
201,3,501,400,301,10035
202,4,502,400,301,10035
202,17,504,400,301,10035
201,16,509,401,301,10035
202,15,504,402,302,10035
201,21,501,400,302,10035
202,19,501,400,302,10035
202,14,503,401,301,10035
201,13,503,402,301,10035
202,23,501,400,304,10035
201,18,502,401,302,10035
202,17,501,400,302,10035
202,12,501,402,301,10035
201,12,504,400,301,10035
202,25,501,400,304,10035
201,21,501,401,303,10035
201,13,501,400,301,10035
201,23,501,400,304,10035
202,21,501,400,302,10035
201,14,504,402,301,10035
201,13,504,402,301,10035
201,13,504,400,301,10035
201,2,501,400,301,10035
202,17,501,401,302,10035
201,14,501,403,302,10035
202,16,503,401,303,10035
202,3,502,400,301,10035
202,3,502,400,301,10035
202,3,501,400,301,10035
201,15,503,403,301,10035
202,23,501,400,304,10035
201,22,503,401,302,10035
202,18,504,402,302,10035
202,18,502,402,302,10035
201,2,501,400,301,10035
202,1,500,400,301,10035
202,16,501,401,301,10035
202,15,501,403,302,10035
201,16,501,403,301,10035
201,18,502,402,302,10035
202,17,502,400,302,10035
202,13,504,402,301,10035
201,12,503,400,301,10035
202,12,503,400,301,10035
201,17,503,402,302,10035
202,16,502,400,302,10035
202,12,503,400,301,10035
202,4,502,400,301,10035
202,3,502,400,301,10035
202,12,503,400,301,10035
202,22,501,400,302,10035
